car_id,brand,model,variant,body_type,year,price,fuel_type,mileage,transmission,seating_capacity,engine_cc,power_hp,torque_nm,safety_rating,safety_features,comfort_features,ground_clearance_mm,boot_space_liters,maintenance_cost_annual,warranty_years,colors_available,resale_value_3yr_percent,resale_value_5yr_percent,city_suitability_score,highway_suitability_score,mileage_score,performance_score,safety_score,comfort_score
1,Hyundai,Grand i10 Nios,VX,hatchback,2024,608967,Petrol,13.7,Manual,7,1200,87,105,3,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, AC, Power Steering",177,300,20899,5,8,58.3,48.8,9.6,6.0,4.6,4.3,6,8.0
2,Toyota,Fortuner,LX,suv,2024,1625808,Diesel,20.0,Manual,7,2000,144,198,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",204,220,50466,5,7,63.7,50.6,6.1,8.5,6.7,7.2,10,10.0
3,Honda,Jazz,Mid,hatchback,2022,899937,Petrol,17.4,Manual,5,1000,73,102,5,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, AC, Power Steering",177,312,20939,4,10,65.3,43.3,8.6,7.5,5.8,3.6,10,8.0
4,Maruti Suzuki,Dzire,ZX,sedan,2025,2326300,Petrol,12.8,DCT,5,1200,111,146,5,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",179,436,58849,3,9,63.1,51.2,7.9,8.2,4.3,5.6,10,12.0
5,Hyundai,i10,Top,hatchback,2022,1095465,Petrol,21.5,Automatic,7,1000,84,115,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, Hill Hold Control, TPMS","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",163,387,38360,5,5,59.4,42.4,8.0,7.4,7.2,4.2,8,10.0
6,Honda,Amaze,VX,sedan,2024,1126550,CNG,21.8,Automatic,5,1600,80,110,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Automatic Climate Control, Touchscreen Infotainment, Wireless Charging, Cruise Control, Sunroof",190,478,27926,3,5,56.3,47.3,7.1,8.5,7.3,4.0,8,10.0
7,Tata,Tigor,Alpha,sedan,2023,2007968,Petrol,18.3,CVT,5,1600,92,130,4,"6 Airbags, ABS, EBD, ESP, 360 Camera, ADAS, Hill Hold Control, TPMS, Electronic Stability Control","Dual Zone Climate Control, 10-inch Touchscreen, Wireless Charging, Ventilated Seats, Panoramic Sunroof, Premium Sound System",186,495,57753,5,5,58.7,41.0,7.0,8.1,6.1,4.6,8,12.0
8,Maruti Suzuki,WagonR,Base,hatchback,2020,746479,Petrol,22.9,Automatic,5,800,77,107,4,"Dual Airbags, ABS, EBD, Rear Parking Sensors","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",167,371,26985,3,5,64.9,45.3,8.8,7.7,7.6,3.9,8,10.0
9,Maruti Suzuki,Alto,EX,hatchback,2020,643220,Petrol,21.6,Manual,5,800,94,125,4,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, Climate Control, Power Steering, Touchscreen Infotainment",167,269,18565,5,5,64.8,48.1,8.0,6.2,7.2,4.7,8,10.0
10,Kia,Carens,LX,mpv,2024,889944,CNG,22.0,Manual,8,2200,136,180,5,"6 Airbags, ABS, EBD, ESP, Rear Parking Sensors, Hill Hold Control","Power Windows, Central Locking, AC, Power Steering",171,275,21673,3,10,63.1,51.2,6.1,9.2,7.3,6.8,10,8.0
